Title: R J REYNOLDS TOBACCO JAMAX, FL.

Subtitle: 08/19/97 23:27

Body Text:
- R.J. Reynolds Tobacco Company Promotion Information
- Direct Account: $39,60
- SIS#: 3960
- Promotion: June 1, 1997
- Ship-To Date: June 2, 1997
- Ship-To Date: June 2, 1997
- Ship-To Date: June 2, 1997
- Ship-To Date: June 2, 1997
- Ship-To Date: June 2, 1997
- Ship-To Date: June 2, 1997
- Ship-To Date: June 2, 1997
- Ship-To Date: June 2, 1997
- Ship-To Date: June 2, 1997
- Ship-To Date: June 2, 1997
- Ship-To Date: June 2, 1997
- Ship-To Date: June 2, 1997
- Ship-To Date: June 2, 1997
- Ship-To Date: June 2, 1997
- Ship-To Date: June 2, 1997
- Ship-To Date: June 2, 1997
- Ship-To Date: June 2, 1997
- Ship-To Date: June 2, 1997
- Ship-To Date: June 2, 1997
- Ship-To Date: June 2, 1997
- Ship-To Date: June 2, 1997
- Ship-To Date: June 2, 1997
- Ship-To Date: June 2, 1997
- Ship-To Date: June 2, 1997
- Ship-To Date: June 2, 1997
- Ship-To Date: June 2, 1997
- Ship-To Date: June 2, 1997
- Ship-To Date: June 2, 1997
- Ship-To Date: June 2, 1997
- Ship-To Date: June 2, 1997
- Ship-To Date: June 2, 1997
- Ship-To Date: June 2, 1997
- Ship-To Date: June 2, 1997
- Ship-To Date: June 2, 1997
- Ship-To Date: June 2, 1997
- Ship-To Date: June 2, 1997
- Ship-To Date: June 2, 1997
- Ship-To Date: June 2, 1997
- Ship-To Date: June 2, 1997
- Ship-To Date: June 2, 1997
- Ship-To Date: June 2, 1997
- Ship-To Date: June 2, 1997
- Ship-To Date: June 2, 1997
- Ship-To Date: June 2, 1997
- Ship-To Date: June 2, 1997
- Ship-To Date: June 2, 1997
- Ship-To Date: June 2, 1997
- Ship-To Date: June 2, 1997
- Ship-To Date: June 2, 1997
- Ship-To Date: June 2, 1997
- Ship-To Date: June 2, 1997
- Ship-To Date: June 2, 1997
- Ship-To Date: June 2, 1997
- Ship-To Date: June 2, 1997
- Ship-To Date: June 2, 1997
- Ship-To Date: June 2, 1997
- Ship-To Date: June 2, 1997
- Ship-To Date: June 2, 1997
- Ship-To Date:
