Title: location | name of mill | type | built | notes | photograph

- Kimsdorp | De Eendracht | Zuidelijke | 1872 | Molen (Dutch) | Molen (Dutch)
- Kollum | Totland | Zuidelijke | 1893 | Molen (Dutch) | Molen (Dutch)
- Kollum | De Westermoed | Zuidelijke | 1894 | Molen (Dutch) | Molen (Dutch)
- Kollum | De Unnamen | Zuidelijke | 1895 | Molen (Dutch) | Molen (Dutch)
- Kollum | Vlissingen | Zuidelijke | 1896 | Molen (Dutch) | Molen (Dutch)
- Kollum | De Vlissingen | Zuidelijke | 1897 | Molen (Dutch) | Molen (Dutch)
- Kollum | De Unnamen | Zuidelijke | 1898 | Molen (Dutch) | Molen (Dutch)
- Kollum | Vlissingen | Zuidelijke | 1899 | Molen (Dutch) | Molen (Dutch)
- Kollum | De Vlissingen | Zuidelijke | 1900 | Molen (Dutch) | Molen (Dutch)
- Kollum | De Unnamen | Zuidelijke | 1901 | Molen (Dutch) | Molen (Dutch)
- Kollum | Vlissingen | Zuidelijke | 1902 | Molen (Dutch) | Molen (Dutch)
- Kollum | De Vlissingen | Zuidelijke | 1903 | Molen (Dutch) | Molen (Dutch)
- Kollum | De Unnamen | Zuidelijke | 1904 | Molen (Dutch) | Molen (Dutch)
- Kollum | Vlissingen | Zuidelijke | 1905 | Molen (Dutch) | Molen (Dutch)
- Kollum | De Vlissingen | Zuidelijke | 1906 | Molen (Dutch) | Molen (Dutch)
- Kollum | De Unnamen | Zuidelijke | 1907 | Molen (Dutch) | Molen (Dutch)
- Kollum | Vlissingen | Zuidelijke | 1908 | Molen (Dutch) | Molen (Dutch)
- Kollum | De Vlissingen | Zuidelijke | 1909 | Molen (Dutch) | Molen (Dutch)
- Kollum | De Unnamen | Zuidelijke | 1910 | Molen (Dutch) | Molen (Dutch)
- Kollum | Vlissingen | Zuidelijke | 1911 | Molen (Dutch) | Molen (Dutch)
- Kollum | De Vlissingen | Zuidelijke | 1912 | Molen (Dutch) | Molen (Dutch)
- Kollum | De Unnamen | Zuidelijke | 1913 | Molen (Dutch) | Molen (Dutch)
- Kollum | Vlissingen | Zuidelijke | 1914 | Molen (Dutch) | Molen (Dutch)
- Kollum | De Vlissingen | Zuidelijke | 1915 | Molen (Dutch) | Molen (Dutch)
- Kollum | De Unnamen | Zuidelijke | 1916 | Molen (Dutch) | Molen (Dutch)
- Kollum | Vlissingen | Zuidelijke | 1917 | Molen (Dutch) | Molen (Dutch)
- Kollum | De Vlissingen | Zuidelijke | 1918 | Molen (Dutch) | Molen (Dutch)
- Kollum | De Unnamen | Zuidelijke | 1919 | Molen (D
