| Rank | Nation | Gold | Silver | Bronze | Total |
|------|--------|------|--------|--------|-------|
| 1 | Canada | 17 | 10 | 7 | 34 |
| 2 | Scotland | 9 | 17 | 14 | 39 |
| 3 | Sweden | 14 | 11 | 6 | 35 |
| 4 | Switzerland | 17 | 10 | 7 | 34 |
| 5 | United States | 10 | 9 | 6 | 33 |
| 6 | Denmark | 9 | 9 | 6 | 33 |
| 7 | Germany | 9 | 9 | 6 | 33 |
| 8 | Norway | 9 | 9 | 6 | 33 |
| 9 | France | 9 | 9 | 6 | 33 |
| 10 | Finland | 9 | 9 | 6 | 33 |
| 11 | Russia | 9 | 9 | 6 | 33 |
| 12 | Total | 33 | 33 | 33 | 121 |
